Record_ID,Observation_Date,Region,District,Forest_Type,Forest_Area_ha,Tree_Cover_Loss_ha,Annual_Rainfall_mm,Population_Density,Fire_Incidents,Illegal_Logging,Deforestation_Risk
REC00274,2022-04-27,Central,Wakiso,Dry Forest,8669.85,664.21,1353.1,642,8,No,High
REC00275,2024-04-02,Eastern,Mbale,Plantation,5259.55,234.79,782.1,812,0,No,Medium
REC00276,2021-04-03,Central,Wakiso,Dry Forest,3151.77,222.55,1967.2,591,16,Yes,High
REC00277,2022-06-28,Eastern,Mbale,Plantation,1123.73,4.17,891.2,368,0,Yes,Low
REC00278,2022-10-01,Western,Kabale,Tropical Rainforest,495.39,31.21,1154.4,456,23,Yes,High
REC00279,2024-04-25,Western,Kabale,Woodland,3572.07,10.27,1380.8,831,13,No,Low
REC00280,2024-05-05,Western,Kabale,Plantation,2164.33,16.54,1866.4,566,13,Yes,High
REC00281,2022-08-07,Western,Kabale,Tropical Rainforest,1588.84,74.82,2227.7,418,0,No,Low
REC00282,2023-03-06,Western,Kabale,Dry Forest,3574.15,52.41,782.3,895,16,No,Low
REC00283,2024-08-02,Northern,Gulu,Tropical Rainforest,1707.19,97.66,2284.3,179,5,Yes,Low
REC00284,2024-03-10,Northern,Gulu,Tropical Rainforest,8182.46,350.89,2362.4,460,1,Yes,High
REC00285,2023-10-05,Western,Mbarara,Plantation,3446.57,171.24,771.7,589,25,Yes,High
REC00286,2023-04-08,Western,Mbarara,Plantation,6497.25,26.92,1611.1,432,16,Yes,High
REC00287,2024-11-20,Central,Wakiso,Dry Forest,3180.68,34.91,1642.5,271,11,Yes,High
REC00288,2022-11-11,Northern,Gulu,Tropical Rainforest,677.21,15.18,2354.5,587,0,No,Low
REC00289,2023-05-26,Northern,Gulu,Tropical Rainforest,9691.94,390.09,2099.6,310,10,Yes,High
REC00290,2021-07-15,Eastern,Mbale,Tropical Rainforest,312.73,18.34,1290.6,731,2,Yes,Low
REC00291,2023-12-09,Central,Mukono,Woodland,1146.31,87.28,847.0,325,0,No,Low
REC00292,2022-01-03,Eastern,Mbale,Dry Forest,878.29,27.9,2249.9,825,1,Yes,Low
REC00293,2024-10-25,Western,Mbarara,Woodland,3092.29,207.35,830.0,372,21,Yes,High
REC00294,2022-10-09,Central,Mukono,Mangrove,4381.86,198.33,2092.7,238,4,No,Medium
REC00295,2024-06-29,Northern,Gulu,Woodland,9691.06,195.17,1529.4,539,10,No,Medium
REC00296,2024-05-02,Western,Kabale,Plantation,2510.83,132.13,1500.8,844,18,Yes,High
REC00297,2022-06-11,Western,Mbarara,Mangrove,6282.71,277.91,1923.6,660,13,No,Medium
REC00298,2022-07-01,Eastern,Mbale,Plantation,6093.95,253.33,1951.1,431,14,Yes,High
REC00299,2022-06-12,Western,Kabale,Plantation,4209.37,233.17,2437.0,329,7,No,Medium
REC00300,2023-05-01,Western,Kabale,Mangrove,1849.01,12.8,1655.7,610,24,Yes,High
REC00301,2023-09-04,Western,Mbarara,Mangrove,4119.31,44.56,2326.3,289,12,Yes,High
REC00302,2024-08-13,Northern,Gulu,Mangrove,6621.91,77.56,853.2,151,11,No,Low
REC00303,2021-02-26,Central,Mukono,Mangrove,6721.01,496.93,2335.8,585,2,No,High
REC00304,2024-04-17,Eastern,Mbale,Plantation,7919.89,12.33,2147.0,545,4,Yes,Low
REC00305,2022-03-16,Western,Kabale,Dry Forest,9125.64,574.39,790.4,425,12,No,High
REC00306,2024-12-30,Western,Kabale,Mangrove,9495.19,152.17,2331.3,485,15,Yes,High
REC00307,2023-09-30,Central,Wakiso,Dry Forest,2350.9,35.43,1972.1,114,20,Yes,High
REC00308,2021-01-14,Western,Kabale,Mangrove,2013.43,119.03,893.6,301,3,Yes,Medium
REC00309,2021-09-08,Western,Mbarara,Tropical Rainforest,6030.91,458.86,1946.1,515,11,No,High
REC00310,2023-05-23,Western,Kabale,Tropical Rainforest,2284.47,0.1,798.5,193,19,Yes,High
REC00311,2024-12-29,Western,Mbarara,Mangrove,3296.73,90.74,1820.1,438,7,No,Low
REC00312,2022-04-26,Western,Mbarara,Dry Forest,6980.03,14.89,843.1,396,11,Yes,High
REC00313,2021-07-07,Eastern,Mbale,Tropical Rainforest,9576.77,502.52,1848.3,635,13,No,High
REC00314,2021-12-16,Western,Mbarara,Tropical Rainforest,3761.36,129.25,1770.9,851,5,Yes,Medium
REC00315,2022-09-10,Western,Kabale,Tropical Rainforest,9219.09,612.38,1629.7,405,14,No,High
REC00316,2024-06-26,Eastern,Mbale,Woodland,7610.94,66.08,1522.9,688,9,Yes,Low
REC00317,2023-08-16,Central,Wakiso,Mangrove,9768.04,720.91,1028.1,619,11,Yes,High
REC00318,2021-05-20,Central,Wakiso,Tropical Rainforest,6963.61,203.54,1073.2,280,6,Yes,Medium
REC00319,2024-08-15,Central,Mukono,Woodland,8408.04,258.94,1630.2,734,6,Yes,Medium
REC00320,2024-12-28,Central,Mukono,Montane Forest,9573.43,318.47,956.9,116,22,Yes,High
REC00321,2022-01-29,Eastern,Mbale,Mangrove,6509.82,368.87,1114.0,269,1,Yes,High
REC00322,2022-10-06,Central,Mukono,Woodland,6195.86,116.24,1432.0,565,5,No,Medium
REC00323,2023-06-20,Northern,Gulu,Plantation,5941.36,411.62,1683.8,597,6,Yes,High
REC00324,2023-01-13,Western,Mbarara,Tropical Rainforest,2160.46,62.25,809.4,467,6,Yes,Low
REC00325,2021-02-14,Eastern,Mbale,Woodland,1899.54,103.31,734.2,808,14,Yes,High
REC00326,2023-09-20,Central,Mukono,Plantation,5367.54,341.29,2271.6,200,14,No,High
REC00327,2021-01-11,Eastern,Mbale,Tropical Rainforest,6140.26,211.19,1026.5,245,22,Yes,High
REC00328,2021-11-06,Eastern,Mbale,Dry Forest,5632.05,183.15,2167.4,617,9,No,Medium
REC00329,2022-01-09,Eastern,Mbale,Montane Forest,7118.02,37.32,2056.3,153,4,Yes,Low
REC00330,2022-11-04,Central,Mukono,Mangrove,8625.82,431.08,1568.0,433,16,Yes,High
REC00331,2024-05-21,Central,Mukono,Mangrove,8584.52,420.49,1200.7,346,16,No,High
REC00332,2024-02-27,Northern,Gulu,Mangrove,7259.34,564.05,1780.3,433,25,Yes,High
REC00333,2023-12-11,Western,Mbarara,Montane Forest,6506.29,284.87,2461.6,419,13,Yes,High
REC00334,2021-08-08,Eastern,Mbale,Tropical Rainforest,7936.66,137.3,2378.6,434,4,No,Medium
REC00335,2024-02-04,Western,Mbarara,Plantation,258.37,20.55,1025.7,284,24,Yes,High
REC00336,2021-11-03,Central,Wakiso,Woodland,9877.9,23.19,2191.4,288,3,No,Low
REC00337,2021-05-20,Western,Kabale,Dry Forest,7942.29,591.07,1850.7,577,6,No,High
REC00338,2021-09-23,Western,Mbarara,Dry Forest,5530.39,276.54,2359.8,702,9,No,Medium
REC00339,2024-12-13,Central,Wakiso,Tropical Rainforest,7754.84,319.2,2147.1,176,18,Yes,High
REC00340,2023-09-24,Western,Mbarara,Plantation,4255.26,41.39,1164.5,192,8,Yes,Low
REC00341,2021-04-30,Central,Wakiso,Mangrove,5759.12,42.69,1918.5,515,20,No,Low
REC00342,2024-11-03,Western,Mbarara,Plantation,9681.12,298.99,1009.8,488,24,Yes,High
REC00343,2022-02-20,Western,Kabale,Tropical Rainforest,7016.08,375.53,1841.5,120,13,No,High
REC00344,2022-02-06,Northern,Gulu,Dry Forest,5244.67,42.02,1992.6,537,0,No,Low
REC00345,2023-10-21,Western,Kabale,Dry Forest,220.19,11.07,1127.4,783,14,Yes,High
REC00346,2022-03-12,Eastern,Mbale,Woodland,7933.31,477.94,2170.6,783,9,Yes,High
REC00347,2022-09-30,Eastern,Mbale,Woodland,3028.34,44.91,931.3,426,2,No,Low
REC00348,2021-04-23,Western,Kabale,Woodland,7446.55,515.43,2151.6,589,17,Yes,High
REC00349,2021-02-17,Central,Wakiso,Dry Forest,5328.32,223.1,2211.8,399,8,Yes,Medium
REC00350,2022-04-01,Central,Mukono,Plantation,5673.19,76.61,1488.0,515,13,Yes,High
REC00351,2022-08-24,Eastern,Mbale,Mangrove,3329.65,248.64,1657.1,675,25,Yes,High
REC00352,2024-12-14,Central,Mukono,Mangrove,6189.71,454.1,2051.0,897,20,Yes,High
REC00353,2021-05-24,Eastern,Mbale,Woodland,3448.55,182.26,913.1,81,8,Yes,Medium
REC00354,2022-03-04,Western,Mbarara,Plantation,9167.64,156.09,2113.1,135,19,No,Medium
REC00355,2024-04-19,Central,Mukono,Plantation,2776.69,100.51,1610.1,190,5,Yes,Medium
REC00356,2023-12-12,Northern,Gulu,Tropical Rainforest,1069.38,46.81,2464.4,612,25,No,Low
REC00357,2023-04-15,Eastern,Mbale,Plantation,9248.54,330.41,1333.2,167,5,Yes,High
REC00358,2022-08-09,Western,Kabale,Woodland,7936.77,407.47,1453.4,853,22,Yes,High
REC00359,2023-05-27,Northern,Gulu,Mangrove,187.78,8.89,1321.9,766,11,No,Low
REC00360,2023-10-19,Northern,Gulu,Mangrove,4788.52,112.22,988.5,828,16,No,Medium
REC00361,2022-06-21,Northern,Gulu,Dry Forest,4188.23,200.34,1959.5,794,20,No,Medium
REC00362,2022-03-06,Northern,Gulu,Plantation,5635.42,107.37,988.9,712,2,Yes,Medium
REC00363,2023-08-01,Western,Kabale,Mangrove,4218.06,37.41,1513.5,666,25,No,Low
REC00364,2024-08-17,Central,Wakiso,Tropical Rainforest,7992.69,377.83,1249.5,105,24,Yes,High
REC00365,2022-02-18,Eastern,Mbale,Mangrove,3228.61,249.18,1066.8,228,7,No,Medium
REC00366,2021-01-31,Eastern,Mbale,Montane Forest,9894.84,54.95,2113.6,485,5,No,Low
REC00367,2021-05-19,Central,Mukono,Woodland,4771.01,133.02,833.6,766,1,No,Medium
REC00368,2023-02-12,Central,Wakiso,Dry Forest,7714.06,112.54,2381.0,768,15,Yes,High
REC00369,2021-06-10,Northern,Gulu,Dry Forest,3225.9,139.57,1396.7,183,6,Yes,Medium
REC00370,2022-03-24,Western,Kabale,Dry Forest,663.99,44.72,2108.7,808,17,No,Low
REC00371,2023-02-01,Central,Mukono,Dry Forest,9737.59,505.46,2084.6,511,13,No,High
REC00372,2022-09-03,Central,Mukono,Dry Forest,7132.41,49.76,813.2,106,25,No,Low
REC00373,2022-05-10,Eastern,Mbale,Montane Forest,2520.0,130.46,886.2,178,12,Yes,High
REC00374,2022-06-10,Eastern,Mbale,Plantation,6311.81,232.3,1035.0,501,13,Yes,High
REC00375,2022-08-03,Western,Kabale,Mangrove,3366.29,8.33,1192.8,333,18,Yes,High
REC00376,2022-12-27,Central,Mukono,Woodland,4691.67,34.19,1924.8,572,5,Yes,Low
REC00377,2024-04-07,Eastern,Mbale,Tropical Rainforest,2182.8,70.21,1527.7,446,8,Yes,Low
REC00378,2022-09-17,Northern,Gulu,Mangrove,621.24,40.15,1855.0,812,4,Yes,Low
REC00379,2023-01-27,Western,Kabale,Woodland,3244.52,130.6,1989.3,595,18,Yes,High
REC00380,2024-07-06,Central,Mukono,Mangrove,8587.57,675.82,2455.1,96,11,No,High
REC00381,2024-08-01,Western,Kabale,Dry Forest,3111.6,162.29,2284.0,42,12,No,Medium
REC00382,2024-01-01,Western,Kabale,Woodland,8025.32,405.95,1856.8,90,1,No,High
REC00383,2023-07-02,Central,Mukono,Plantation,1533.0,41.02,2116.8,313,10,Yes,Low
REC00384,2024-10-26,Eastern,Mbale,Woodland,3651.45,115.11,1464.0,711,15,No,Medium
REC00385,2023-04-19,Central,Mukono,Plantation,7751.05,122.21,1767.8,772,13,Yes,High
REC00386,2021-03-27,Central,Mukono,Dry Forest,4653.47,348.54,1095.4,504,25,No,High
REC00387,2021-06-22,Central,Mukono,Tropical Rainforest,1583.84,116.76,2442.4,233,25,No,Medium
REC00388,2022-09-13,Central,Wakiso,Tropical Rainforest,7802.33,276.98,1739.4,163,16,No,Medium
REC00389,2021-11-20,Western,Mbarara,Dry Forest,722.94,28.65,2212.6,484,10,Yes,Low
REC00390,2022-07-20,Western,Mbarara,Tropical Rainforest,3403.53,174.01,2214.9,742,2,No,Medium
REC00391,2022-01-30,Western,Kabale,Mangrove,851.01,9.95,2114.2,529,20,Yes,High
REC00392,2023-09-15,Central,Mukono,Plantation,1044.97,39.21,813.8,717,14,Yes,High
REC00393,2021-09-22,Western,Kabale,Mangrove,6539.61,273.17,2419.8,554,21,Yes,High
REC00394,2024-07-15,Eastern,Mbale,Montane Forest,8983.42,240.61,1606.3,282,5,Yes,Medium
REC00395,2022-10-05,Western,Mbarara,Woodland,6293.94,456.54,1598.7,129,4,Yes,High
REC00396,2022-09-21,Northern,Gulu,Mangrove,5678.9,210.63,1946.6,483,8,Yes,Medium
REC00397,2023-04-14,Eastern,Mbale,Mangrove,5815.66,72.41,2049.6,398,12,Yes,High
REC00398,2024-08-30,Northern,Gulu,Dry Forest,9027.11,127.91,1110.5,237,21,Yes,High
REC00399,2024-01-03,Western,Kabale,Tropical Rainforest,7807.42,511.18,2391.3,41,22,No,High
REC00400,2023-09-30,Central,Mukono,Plantation,9055.54,543.7,1826.8,610,5,No,High
REC00401,2023-12-23,Central,Wakiso,Mangrove,5396.15,14.28,1449.1,670,4,No,Low
REC00402,2022-08-27,Eastern,Mbale,Mangrove,4343.8,308.82,2446.4,57,21,No,High
REC00403,2021-09-15,Central,Mukono,Plantation,7150.2,201.76,2054.0,232,2,No,Medium
REC00404,2024-08-30,Eastern,Mbale,Plantation,7381.33,165.57,1736.0,64,3,Yes,Medium
REC00405,2022-04-23,Eastern,Mbale,Tropical Rainforest,4530.04,30.47,2006.0,735,9,No,Low
REC00406,2021-05-24,Western,Kabale,Montane Forest,4461.07,270.03,1833.1,657,16,Yes,High
REC00407,2024-12-27,Central,Wakiso,Woodland,2859.44,55.55,1450.1,213,22,Yes,High
REC00408,2022-12-04,Western,Kabale,Dry Forest,1054.67,32.09,1036.5,166,3,No,Low
REC00409,2022-12-30,Eastern,Mbale,Montane Forest,2010.67,114.66,1587.7,403,1,Yes,Medium
REC00410,2022-05-24,Western,Kabale,Montane Forest,5500.31,43.17,2070.7,820,11,Yes,High
REC00411,2021-04-04,Eastern,Mbale,Mangrove,3356.46,105.98,2238.8,285,21,Yes,High
REC00412,2024-07-09,Central,Mukono,Montane Forest,1660.69,107.51,2226.6,78,4,Yes,Medium
REC00413,2022-02-16,Northern,Gulu,Tropical Rainforest,3055.15,144.41,1446.5,54,10,No,Medium
REC00414,2022-02-11,Western,Mbarara,Woodland,4737.6,219.63,1705.5,361,5,Yes,Medium
REC00415,2024-10-23,Western,Kabale,Plantation,6370.74,374.56,2136.0,210,17,No,High
REC00416,2023-04-07,Northern,Gulu,Mangrove,5769.48,15.85,823.6,672,25,Yes,High
REC00417,2021-09-23,Western,Mbarara,Dry Forest,8526.47,255.84,1265.2,414,1,Yes,Medium
REC00418,2022-03-17,Central,Wakiso,Montane Forest,9674.87,343.9,2488.8,541,6,Yes,High
REC00419,2022-01-05,Central,Wakiso,Tropical Rainforest,3937.01,213.18,1631.0,477,9,Yes,Medium
REC00420,2022-09-21,Central,Mukono,Tropical Rainforest,3831.31,41.37,891.4,823,21,Yes,High
REC00421,2021-09-21,Central,Wakiso,Dry Forest,9249.23,707.81,2130.4,631,6,No,High
REC00422,2023-09-21,Central,Wakiso,Woodland,7098.41,441.04,2048.2,811,3,No,High
REC00423,2024-07-28,Northern,Gulu,Woodland,2890.53,67.43,2440.3,699,2,Yes,Low
REC00424,2023-05-10,Western,Kabale,Plantation,3314.32,173.97,1368.2,36,20,No,Medium
REC00425,2024-03-31,Western,Kabale,Montane Forest,8676.52,0.43,1099.8,323,14,No,Low
REC00426,2023-06-08,Northern,Gulu,Mangrove,8685.67,663.54,1152.3,315,22,Yes,High
REC00427,2024-08-07,Western,Kabale,Montane Forest,3011.43,100.44,1402.4,106,8,No,Medium
REC00428,2023-02-23,Central,Mukono,Plantation,196.25,12.4,1446.3,90,24,No,Low
REC00429,2024-07-17,Western,Kabale,Woodland,1872.74,23.36,1901.7,427,14,Yes,High
REC00430,2024-08-17,Central,Mukono,Plantation,352.55,21.16,1333.1,373,22,No,Low
REC00431,2021-05-27,Eastern,Mbale,Dry Forest,1596.54,109.4,1854.0,178,7,No,Medium
REC00432,2023-11-06,Western,Mbarara,Plantation,6048.76,108.6,1347.5,77,13,No,Medium
REC00433,2021-10-13,Eastern,Mbale,Montane Forest,680.84,8.56,1947.8,789,2,Yes,Low
REC00434,2022-02-01,Central,Mukono,Tropical Rainforest,2853.45,168.28,2362.8,211,3,Yes,Medium
REC00435,2021-12-19,Eastern,Mbale,Mangrove,7657.4,16.94,2169.3,524,1,Yes,Low
REC00436,2023-08-26,Central,Mukono,Woodland,5791.93,416.58,765.8,605,5,Yes,High
REC00437,2024-02-05,Eastern,Mbale,Dry Forest,8982.81,332.74,1071.9,863,4,Yes,High
REC00438,2022-06-19,Central,Wakiso,Plantation,6346.02,96.29,1445.9,667,22,No,Low
REC00439,2022-04-21,Central,Wakiso,Plantation,7775.38,101.5,711.0,563,10,Yes,Medium
REC00440,2024-07-14,Northern,Gulu,Montane Forest,8358.1,533.83,1607.1,597,6,No,High
REC00441,2022-04-07,Western,Kabale,Tropical Rainforest,8000.06,336.24,1228.4,858,16,No,High
REC00442,2024-06-04,Eastern,Mbale,Woodland,3408.51,268.2,1217.6,777,4,No,Medium
REC00443,2022-07-15,Central,Mukono,Montane Forest,2178.5,77.41,1301.1,865,8,No,Low
REC00444,2024-03-24,Central,Wakiso,Plantation,7717.97,569.56,857.3,571,11,No,High
REC00445,2023-03-02,Western,Kabale,Tropical Rainforest,5344.06,145.4,1603.9,669,5,No,Medium
REC00446,2023-01-07,Eastern,Mbale,Montane Forest,717.64,31.25,1604.5,144,11,No,Low
REC00447,2021-07-30,Western,Mbarara,Mangrove,8517.15,412.06,1338.7,583,10,No,High
REC00448,2021-12-20,Eastern,Mbale,Montane Forest,687.36,9.6,2131.6,457,11,Yes,High
REC00449,2023-12-13,Western,Mbarara,Tropical Rainforest,3348.8,261.97,1553.7,879,8,Yes,Medium
REC00450,2022-07-30,Northern,Gulu,Mangrove,7965.55,179.9,920.9,725,23,No,Medium
REC00451,2024-05-29,Central,Mukono,Plantation,292.46,15.24,2031.1,622,7,Yes,Low
REC00452,2024-03-29,Western,Kabale,Plantation,574.78,38.51,2086.2,350,8,No,Low
REC00453,2022-03-16,Central,Wakiso,Mangrove,7711.45,283.5,1912.3,165,0,Yes,Medium
REC00454,2022-02-26,Western,Mbarara,Montane Forest,6652.18,78.69,2381.0,804,24,Yes,High
REC00455,2023-08-27,Western,Kabale,Plantation,3255.92,145.48,852.8,577,14,No,Medium
REC00456,2024-01-08,Northern,Gulu,Mangrove,6913.01,220.42,1867.2,853,9,Yes,Medium
REC00457,2024-10-10,Central,Wakiso,Montane Forest,6990.56,23.37,1581.8,563,15,Yes,High
REC00458,2021-09-05,Western,Kabale,Tropical Rainforest,8476.59,592.72,1202.5,309,7,Yes,High
REC00459,2022-07-21,Western,Kabale,Montane Forest,3383.65,68.97,2128.3,641,20,Yes,High
REC00460,2021-07-20,Northern,Gulu,Montane Forest,6237.34,206.41,2094.7,691,17,Yes,High
REC00461,2023-12-17,Eastern,Mbale,Montane Forest,6190.5,297.75,2229.0,873,13,Yes,High
REC00462,2023-07-02,Central,Mukono,Woodland,4748.88,125.2,1553.4,771,17,Yes,High
REC00463,2021-05-31,Central,Wakiso,Plantation,4165.22,95.2,1926.8,93,1,No,Low
REC00464,2021-10-12,Eastern,Mbale,Tropical Rainforest,9771.24,662.46,1921.1,777,21,No,High
REC00465,2024-11-24,Western,Mbarara,Tropical Rainforest,1803.98,71.63,1677.0,849,21,Yes,High
REC00466,2024-11-23,Northern,Gulu,Tropical Rainforest,563.89,24.55,1060.7,444,4,No,Low
REC00467,2021-01-27,Northern,Gulu,Dry Forest,9895.35,719.8,1523.7,337,16,Yes,High
REC00468,2023-09-15,Central,Mukono,Tropical Rainforest,403.43,5.81,1754.9,413,4,Yes,Low
REC00469,2022-09-26,Central,Wakiso,Tropical Rainforest,3951.15,81.58,732.5,832,17,No,Low
REC00470,2023-08-11,Western,Kabale,Montane Forest,8587.15,258.68,1752.3,378,14,Yes,High
REC00471,2021-10-11,Western,Mbarara,Mangrove,2393.67,117.41,1234.9,393,12,Yes,High
REC00472,2022-05-02,Western,Mbarara,Plantation,1032.72,25.58,1036.7,369,4,No,Low
REC00473,2022-09-19,Northern,Gulu,Plantation,244.72,13.44,1801.9,307,23,Yes,High
REC00474,2024-01-29,Western,Mbarara,Tropical Rainforest,485.06,3.74,2434.0,722,5,Yes,Low
REC00475,2024-11-10,Northern,Gulu,Dry Forest,7026.01,372.33,2434.8,216,1,No,High
REC00476,2024-03-03,Eastern,Mbale,Tropical Rainforest,8348.5,329.67,1891.2,798,15,No,High
REC00477,2023-09-29,Western,Kabale,Woodland,4466.42,169.18,2129.9,241,17,No,Medium
REC00478,2021-05-19,Western,Kabale,Dry Forest,7403.82,432.36,1253.6,341,4,No,High
REC00479,2021-04-29,Western,Kabale,Plantation,1826.27,142.35,779.4,349,22,Yes,High
REC00480,2021-06-20,Central,Mukono,Plantation,1533.38,33.1,2056.9,174,7,Yes,Low
REC00481,2023-11-09,Western,Mbarara,Dry Forest,3464.19,62.52,860.6,155,7,No,Low
REC00482,2023-04-16,Eastern,Mbale,Montane Forest,8687.68,444.74,1310.7,455,15,Yes,High
REC00483,2024-06-09,Northern,Gulu,Plantation,7743.03,249.45,1007.2,668,23,Yes,High
REC00484,2021-12-26,Central,Mukono,Tropical Rainforest,9655.01,623.04,1368.9,121,13,Yes,High
REC00485,2021-02-28,Central,Mukono,Tropical Rainforest,9043.92,414.11,2262.1,156,22,No,High
REC00486,2022-03-18,Central,Wakiso,Plantation,9748.93,52.0,1681.1,419,19,No,Low
REC00487,2022-06-25,Northern,Gulu,Dry Forest,6516.19,350.28,772.6,91,22,No,High
REC00488,2022-04-16,Central,Mukono,Plantation,5614.31,189.0,1922.9,35,14,Yes,High
REC00489,2024-04-07,Eastern,Mbale,Tropical Rainforest,8483.09,609.29,1602.3,392,18,No,High
REC00490,2024-02-26,Eastern,Mbale,Mangrove,7830.98,595.83,2167.1,844,9,Yes,High
REC00491,2022-06-29,Central,Mukono,Mangrove,4856.96,77.9,2077.2,862,18,Yes,High
REC00492,2024-09-15,Western,Kabale,Montane Forest,7513.11,10.35,1600.1,435,16,No,Low
REC00493,2022-10-16,Western,Mbarara,Mangrove,402.49,8.83,1716.3,437,9,Yes,Low
REC00494,2023-09-07,Western,Mbarara,Tropical Rainforest,480.69,33.7,1412.6,356,18,No,Low
REC00495,2021-08-24,Northern,Gulu,Woodland,7796.74,102.94,2275.8,455,0,No,Medium
REC00496,2023-06-17,Western,Mbarara,Tropical Rainforest,1473.89,76.39,1096.1,518,12,Yes,High
REC00497,2021-07-29,Eastern,Mbale,Plantation,9704.17,154.91,711.7,664,16,No,Medium
REC00498,2023-07-11,Central,Mukono,Dry Forest,2228.78,88.33,1757.3,734,8,No,Low
REC00499,2023-08-07,Western,Mbarara,Plantation,9602.15,30.66,1013.3,736,20,No,Low
REC00500,2022-02-02,Central,Wakiso,Plantation,4729.13,308.99,1967.8,702,17,No,High
REC00501,2024-02-28,Western,Kabale,Woodland,7775.17,608.59,732.8,853,11,No,High
REC00502,2024-06-24,Central,Mukono,Montane Forest,3996.42,308.45,1022.3,112,6,No,High
REC00503,2024-02-07,Western,Mbarara,Tropical Rainforest,7184.15,130.47,885.0,659,16,Yes,High
REC00504,2022-06-07,Eastern,Mbale,Montane Forest,7059.25,113.66,2036.6,688,0,Yes,Medium
REC00505,2022-01-01,Western,Mbarara,Woodland,2836.72,151.43,1364.5,575,10,Yes,Medium
REC00506,2022-10-25,Western,Mbarara,Plantation,528.34,38.7,1152.3,477,16,Yes,High
REC00507,2022-07-12,Western,Kabale,Tropical Rainforest,7987.68,59.45,1271.7,81,0,Yes,Low
REC00508,2024-05-03,Northern,Gulu,Montane Forest,3279.68,101.88,2439.9,841,17,Yes,High
REC00509,2023-08-03,Northern,Gulu,Dry Forest,6914.87,297.08,2126.4,876,15,No,Medium
REC00510,2023-09-29,Central,Mukono,Woodland,9634.76,286.14,1893.9,383,6,Yes,Medium
REC00511,2023-03-30,Northern,Gulu,Plantation,6518.65,24.02,1044.6,564,12,Yes,High
REC00512,2024-04-07,Western,Mbarara,Tropical Rainforest,1420.85,17.11,1486.8,394,2,No,Low
REC00513,2022-09-17,Central,Wakiso,Tropical Rainforest,5986.36,404.44,1267.4,655,25,Yes,High
REC00514,2021-10-24,Western,Kabale,Woodland,4636.76,60.22,1112.2,359,11,Yes,High
REC00515,2021-04-17,Western,Kabale,Dry Forest,9023.72,172.7,1735.8,793,25,No,Medium
REC00516,2023-12-23,Western,Kabale,Tropical Rainforest,1704.69,110.98,1747.1,360,7,Yes,Medium
REC00517,2024-05-20,Eastern,Mbale,Mangrove,5716.21,245.16,1938.9,743,18,No,Medium
REC00518,2022-05-15,Western,Mbarara,Woodland,9146.86,442.35,2127.3,774,4,Yes,High
REC00519,2021-02-20,Eastern,Mbale,Montane Forest,7194.73,65.38,1482.1,163,0,Yes,Low
REC00520,2021-01-06,Central,Mukono,Woodland,618.91,20.39,1873.2,394,13,No,Low
REC00521,2024-06-01,Western,Kabale,Tropical Rainforest,338.92,14.96,2352.4,406,24,Yes,High
REC00522,2021-05-17,Eastern,Mbale,Plantation,6247.69,111.65,2466.6,507,0,No,Medium
REC00523,2024-08-02,Western,Mbarara,Woodland,6359.1,486.52,1344.6,189,1,No,High
REC00524,2022-12-31,Eastern,Mbale,Plantation,5735.1,152.2,750.1,139,19,No,Medium
REC00525,2021-05-15,Western,Mbarara,Dry Forest,9080.59,538.95,1031.6,547,18,Yes,High
REC00526,2024-05-11,Western,Mbarara,Mangrove,3384.81,164.54,1071.7,503,13,No,Medium
REC00527,2022-03-01,Western,Kabale,Dry Forest,9824.16,181.33,2415.0,337,7,No,Medium
REC00528,2023-08-01,Central,Wakiso,Plantation,944.42,15.62,1113.0,239,4,No,Low
REC00529,2022-10-21,Western,Kabale,Dry Forest,8651.88,301.51,1199.6,467,8,Yes,High
REC00530,2023-11-19,Eastern,Mbale,Montane Forest,6784.39,74.78,2489.3,296,3,No,Low
REC00531,2023-07-22,Western,Mbarara,Mangrove,9367.24,635.51,2296.0,32,20,No,High
REC00532,2023-06-20,Western,Kabale,Montane Forest,2547.57,56.0,1383.5,551,25,No,Low
REC00533,2021-01-07,Northern,Gulu,Mangrove,7331.89,5.22,2369.3,46,8,Yes,Low
REC00534,2022-05-18,Central,Wakiso,Woodland,2293.46,128.33,2246.9,235,0,Yes,Medium
REC00535,2023-06-18,Northern,Gulu,Tropical Rainforest,5021.42,3.14,1501.0,868,22,No,Low
REC00536,2023-08-14,Western,Mbarara,Dry Forest,4148.96,267.32,2174.1,160,23,No,Medium
REC00537,2023-09-30,Central,Wakiso,Montane Forest,9223.35,272.64,1734.9,628,7,No,Medium
REC00538,2024-03-26,Northern,Gulu,Montane Forest,6535.01,377.03,2360.6,589,25,Yes,High
REC00539,2023-03-10,Western,Kabale,Montane Forest,4413.41,331.28,1790.0,196,24,No,High
REC00540,2024-12-18,Central,Wakiso,Tropical Rainforest,3999.03,60.36,1169.3,103,4,Yes,Low
REC00541,2024-12-20,Western,Mbarara,Woodland,3974.32,76.33,1253.6,608,21,No,Low
REC00542,2022-03-08,Central,Wakiso,Dry Forest,7275.03,403.62,1054.1,501,13,Yes,High
REC00543,2022-11-20,Central,Mukono,Woodland,457.61,31.33,2497.9,38,4,No,Low
REC00544,2023-12-03,Central,Mukono,Plantation,3526.99,57.2,1755.0,209,15,No,Low
